id;uri;currentName;street;city;zip;state;countryCode;sectors;purpose;preferredLanguage;capital;type;employees;email;site;phone
de174e96-f1c3-445d-a6ca-ebf3d07f7af8;insider-pub-betriebs-ag-3402033511;"""Insider Pub"" -Betriebs AG";Wangenstrasse 11;Wanzwil;3372;BE;CHE;I014;Die Gesellschaft bezweckt den Betrieb von Restaurants und Pubs. Die Gesellschaft kann Zweigniederlassungen errichten und sich an anderen Unternehmen beteiligen sowie Grundstücke erwerben, halten und veräussern. Die Gesellschaft kann schliesslich alle kommerziellen, finanziellen und anderen Tätigkeiten ausüben, welche mit ihrem Zweck im Zusammenhang stehen.;de;{'capitals': [{'type': {'code': '2', 'key': 'CapitalType_2'}, 'amount': '100000', 'paid': '100000', 'currency': 'CHF', 'validFrom': '1989-02-07', 'invalidFrom': None}], 'issues': [{'type': {'code': '2', 'key': 'CapitalType_2'}, 'tranche': '1', 'shareValue': '1000.00', 'shareNumber': '100', 'validFrom': '1989-02-07', 'invalidFrom': None}]};organisation;[{'from': '2016-07-13', 'range': '4-9', 'source': {'code': 2000, 'key': 'OriginMark_2000'}}];insiderpub@besonet.ch;www.insiderpub.ch;+41629616251
67684e77-42c7-478a-a762-76fd30a4f5d0;km-management-kellerhals-martin-11431179531;"""KM Management"" Kellerhals Martin";Eichgutstrasse 12;Winterthur;8400;ZH;CHE;M015;Management - Leadership - Coaching, Ausarbeitung und Umsetzung von Unternehmensstrategien, Prozessmanagement, Führung und Motivation von Kader, Organisation, Schulung. Handel von Produkten.;de;;organisation;[{'from': '2016-07-13', 'range': '1-3', 'source': {'code': 2000, 'key': 'OriginMark_2000'}}];info@km-management.ch;www.km-management.ch;+41522462626
6c583d40-32e1-40da-8260-0a50964ea1db;kurt-buchegger-ag-elektro-und-lichttechnische-14895749711;"""Kurt Buchegger AG, Elektro- und lichttechnisches Büro""";Via Nouva 7;Celerina/Schlarigna;7505;GR;CHE;M016;"Betrieb eines elektro- und lichttechnischen Büros; die Gesellschaft kann Liegenschaften kaufen, verkaufen und verwalten, sich an Unternehmungen gleicher oder ähnlicher Art in irgendeiner Form beteiligen oder selbst solche Unternehmungen gründen sowie Zweigniederlassungen eröffnen.";de;{'capitals': [{'type': {'code': '2', 'key': 'CapitalType_2'}, 'amount': '50000', 'paid': '50000', 'currency': 'CHF', 'validFrom': '1980-10-15', 'invalidFrom': None}], 'issues': [{'type': {'code': '2', 'key': 'CapitalType_2'}, 'tranche': '1', 'shareValue': '1000', 'shareNumber': '50', 'validFrom': '1980-10-15', 'invalidFrom': None}]};organisation;[{'from': '2016-07-13', 'range': '4-9', 'source': {'code': 2000, 'key': 'OriginMark_2000'}}];info@buchegger.ch;www.buchegger.ch;+41818428000
3cd3044a-397b-43cd-8c86-4909287edb89;larrangement-l-voedisch-nikitina-20020519711;"""L'arrangement"" L. Vödisch-Nikitina";Türkheimerstrasse 34;Basel;4055;BS;CHE;P018;Betrieb einer Musikschule sowie eines Musiknoten- und Buchverlags.;de;;organisation;[{'from': '2016-07-13', 'range': '1-3', 'source': {'code': 2000, 'key': 'OriginMark_2000'}}];info@larrangement.info;;+41613024722
1eda0517-6c45-4154-953b-17d6bda86271;la-guzzi-thomas-herbst-20657144391;"""La Guzzi"" Thomas Herbst";Blegistrasse 15;Baar;6340;ZG;CHE;G011;Handel mit und Reparaturen an sowie Import und Vertrieb von Motorrädern und ihren Bestandteilen einschliesslich Zubehör sowie Handel mit Waren aller Art.;de;;organisation;[{'from': '2016-07-13', 'range': '1-3', 'source': {'code': 2000, 'key': 'OriginMark_2000'}}];info@laguzzi.ch;www.laguzzi.ch;+41447861424
ed50bf55-61cc-440d-8b1e-918d3583b668;la-longeraie-fondation-ecclesiastique-21182686471;"""La Longeraie"", fondation ecclésiastique";Route de la Longeraie;Morges;1110;VD;CHE;I010;Contribuer à la vie spirituelle, culturelle, sociale et professionnelle en mettant au service de l'Eglise catholique un espace où chacun soit accueilli dans un esprit d'ouverture pour toutes rencontres, sessions, séjours et cours de formation, ainsi que toutes retraites collectives et individuelles.;fr;;organisation;[{'from': '2016-07-13', 'range': '100-199', 'source': {'code': 2000, 'key': 'OriginMark_2000'}}];hotel@lalongeraie.ch;www.lalongeraie.ch;+41218046400
84dd36b2-49ec-41d8-9134-9c38379e8815;le-club-boussens-21459252681;"""Le Club"" - Boussens";Route de la Coulisse 5;Boussens;1034;VD;CHE;S011;"Favoriser, entretenir et améliorer les relations professionnelles et commerciales entre ses membres; ceux-ci auront la possibilité d'utiliser les infrastructures mises à leur disposition dans le cadre de l'activité professionnelle de leurs entreprises et de leurs relations d'affaires en général.";fr;;organisation;[{'from': '2016-07-13', 'range': '20-49', 'source': {'code': 2000, 'key': 'OriginMark_2000'}}];info@leclub-boussens.ch;www.leclub-boussens.ch;
abaed045-1a89-4d78-8193-096382c8bab3;le-triangle-atelier-darchitecture-hugo-beucha-12835644661;"""Le Triangle"", atelier d'architecture Hugo Beuchat, architecte";Faubourg St-Germain 5a;Porrentruy;2900;JU;CHE;M016;Atelier d'architecture.;fr;;organisation;[{'from': '2016-07-13', 'range': '1-3', 'source': {'code': 2000, 'key': 'OriginMark_2000'}}];etsletriangle@bluewin.ch;;+41324666510
498fd168-1718-4064-85ca-416f309b19ab;lovac-angelsport-aleksic-21131604981;"""Lovac"" Angelsport Aleksic";Härdlenstrasse 44;Kloten;8302;ZH;CHE;G025;Die Firma bezweckt die Herstellung, Handel, Vertrieb, Promotion und das Marketing sowie Import und Export von Fischerei- und Sportartikeln über physischen und eigenen E-Commerce Lösungen. Die Firma kann Zweigniederlassungen und im ln- und Ausland errichten und sich an anderen Unternehmen im ln- und Ausland beteiligen.;de;;organisation;[{'from': '2016-07-13', 'range': '1-3', 'source': {'code': 2000, 'key': 'OriginMark_2000'}}];info@lovac-angelsport.ch;www.shop.lovac-angelsport.ch;+41719600801
4a8100ab-1f00-4aca-9379-3d6c07351e05;laederbutigg-baern-f-kohli-14545368121;"""Läderbutigg Bärn"" F. Kohli";Speichergasse 16;Bern;3011;BE;CHE;G022;Herstellung, Reparaturen und Vertrieb von Gegenständen aller Art aus Leder.;de;;organisation;[{'from': '2016-07-13', 'range': '4-9', 'source': {'code': 2000, 'key': 'OriginMark_2000'}}];info@lederboutique.ch;www.lederboutique.ch;+41313116811
